lat,lon,roof_area_m2,ghi,dni,pvout,avg_temp,usability_factor,panel_efficiency,tilt_angle,annual_kwh_actual
8.0,68.0,218.7,1.0,,,29.8,0.78,0.21,10.1,
8.0,68.0,270.4,1.0,,,29.8,0.72,0.2,10.1,
8.0,68.0,42.1,1.0,,,29.8,0.72,0.19,10.1,
8.0,68.0,195.9,1.0,,,29.8,0.72,0.22,10.1,
8.0,68.0,107.6,1.0,,,29.8,0.81,0.21,10.1,
8.0,68.25,87.6,1.0,,,29.8,0.73,0.18,10.1,
8.0,68.25,207.0,1.0,,,29.8,0.85,0.18,10.1,
8.0,68.25,120.2,1.0,,,29.8,0.77,0.18,10.1,
8.0,68.25,185.5,1.0,,,29.8,0.79,0.21,10.1,
8.0,68.25,58.3,1.0,,,29.8,0.76,0.17,10.1,
8.0,68.5,131.9,1.0,,,29.8,0.76,0.17,10.1,
8.0,68.5,164.1,1.0,,,29.8,0.82,0.21,10.1,
8.0,68.5,274.4,1.0,,,29.8,0.83,0.22,10.1,
8.0,68.5,62.5,1.0,,,29.8,0.85,0.18,10.1,
8.0,68.5,53.1,1.0,,,29.8,0.71,0.2,10.1,
8.0,68.75,70.4,1.0,,,29.8,0.81,0.22,10.1,
8.0,68.75,135.2,1.0,,,29.8,0.65,0.18,10.1,
8.0,68.75,267.4,1.0,,,29.8,0.7,0.22,10.1,
8.0,68.75,75.1,1.0,,,29.8,0.63,0.2,10.1,
8.0,68.75,218.4,1.0,,,29.8,0.81,0.19,10.1,
8.0,69.0,88.1,1.0,,,29.8,0.63,0.2,10.1,
8.0,69.0,158.2,1.0,,,29.8,0.66,0.19,10.1,
8.0,69.0,104.0,1.0,,,29.8,0.75,0.18,10.1,
8.0,69.0,59.1,1.0,,,29.8,0.64,0.2,10.1,
8.0,69.0,220.7,1.0,,,29.8,0.72,0.21,10.1,
8.0,69.25,336.5,1.0,,,29.8,0.84,0.21,10.1,
8.0,69.25,108.9,1.0,,,29.8,0.63,0.21,10.1,
8.0,69.25,87.2,1.0,,,29.8,0.69,0.19,10.1,
8.0,69.25,287.7,1.0,,,29.8,0.73,0.18,10.1,
8.0,69.25,340.4,1.0,,,29.8,0.7,0.17,10.1,
8.0,69.5,127.7,1.0,,,29.8,0.74,0.19,10.1,
8.0,69.5,63.6,1.0,,,29.8,0.72,0.19,10.1,
8.0,69.5,320.5,1.0,,,29.8,0.72,0.18,10.1,
8.0,69.5,249.2,1.0,,,29.8,0.61,0.19,10.1,
8.0,69.5,126.6,1.0,,,29.8,0.84,0.19,10.1,
8.0,69.75,209.6,1.0,,,29.8,0.77,0.22,10.1,
8.0,69.75,202.7,1.0,,,29.8,0.79,0.18,10.1,
8.0,69.75,152.7,1.0,,,29.8,0.81,0.21,10.1,
8.0,69.75,179.2,1.0,,,29.8,0.75,0.2,10.1,
8.0,69.75,130.1,1.0,,,29.8,0.77,0.18,10.1,
8.0,70.0,114.9,1.0,,,29.8,0.71,0.2,10.1,
8.0,70.0,179.8,1.0,,,29.8,0.79,0.19,10.1,
8.0,70.0,136.7,1.0,,,29.8,0.72,0.18,10.1,
8.0,70.0,303.4,1.0,,,29.8,0.7,0.17,10.1,
8.0,70.0,71.8,1.0,,,29.8,0.64,0.19,10.1,
8.0,70.25,231.2,1.0,,,29.8,0.6,0.19,10.1,
8.0,70.25,109.4,1.0,,,29.8,0.67,0.2,10.1,
8.0,70.25,209.0,1.0,,,29.8,0.66,0.18,10.1,
8.0,70.25,104.7,1.0,,,29.8,0.71,0.19,10.1,
8.0,70.25,338.8,1.0,,,29.8,0.79,0.18,10.1,
8.0,70.5,292.9,1.0,,,29.8,0.73,0.19,10.1,
8.0,70.5,340.3,1.0,,,29.8,0.64,0.2,10.1,
8.0,70.5,149.8,1.0,,,29.8,0.6,0.18,10.1,
8.0,70.5,233.9,1.0,,,29.8,0.6,0.17,10.1,
8.0,70.5,340.8,1.0,,,29.8,0.65,0.18,10.1,
